time,ch1,ch2,ch3,ch4
15.08.2017 19:56:40.504,-5,12,111,29
15.08.2017 19:56:40.754,16,-4,-256,23
15.08.2017 19:56:41.004,15,18,19,43
15.08.2017 19:56:41.254,16,3,170,14
15.08.2017 19:56:41.504,6,-5,-249,5
15.08.2017 19:56:41.754,15,-4,-76,6
15.08.2017 19:56:42.004,-8,-30,159,8
15.08.2017 19:56:42.254,-5,-5,-203,35
15.08.2017 19:56:42.504,-6,-14,-167,42
15.08.2017 19:56:42.754,5,-19,183,39
15.08.2017 19:56:43.004,-20,17,-143,32
15.08.2017 19:56:43.254,-16,-11,-263,41
15.08.2017 19:56:43.504,-28,-19,179,25
15.08.2017 19:56:43.754,-15,-14,-56,23
15.08.2017 19:56:44.004,-19,-8,-298,48
15.08.2017 19:56:44.504,-21,-24,40,50
15.08.2017 19:56:44.734,-5,0,-299,41
15.08.2017 19:56:44.984,-20,-18,101,32
15.08.2017 19:56:45.234,5,-2,66,6
15.08.2017 19:56:45.484,5,-1,-290,-5
15.08.2017 19:56:45.734,-5,-15,29,2
15.08.2017 19:56:45.984,27,9,100,7
15.08.2017 19:56:46.234,5,-13,-267,6
15.08.2017 19:56:46.484,-6,-1,-46,17
15.08.2017 19:56:46.734,5,-6,148,25
15.08.2017 19:56:46.984,15,-18,-224,44
15.08.2017 19:56:47.234,16,-10,-104,4
15.08.2017 19:56:47.484,5,0,176,30
15.08.2017 19:56:47.734,-5,0,-216,20
15.08.2017 19:56:47.984,4,-17,-132,7
15.08.2017 19:56:48.234,-6,3,191,14
15.08.2017 19:56:48.484,5,0,-147,40
15.08.2017 19:56:48.758,6,-21,-205,52
15.08.2017 19:56:49.008,4,41,171,44
15.08.2017 19:56:49.258,-5,-11,-69,42
15.08.2017 19:56:49.508,-8,8,-284,41
15.08.2017 19:56:49.758,-17,-23,163,40
15.08.2017 19:56:50.008,5,-23,-1,41
15.08.2017 19:56:50.258,-6,-20,-302,26
15.08.2017 19:56:50.508,16,1,111,40
15.08.2017 19:56:50.758,-5,3,33,49
15.08.2017 19:56:51.008,-8,-30,-283,32
15.08.2017 19:56:51.258,-6,3,50,14
15.08.2017 19:56:51.508,-6,8,113,7
15.08.2017 19:56:51.758,16,-18,-285,15
15.08.2017 19:56:52.258,3,45,139,3
15.08.2017 19:56:52.508,5,-17,-270,1
15.08.2017 19:56:52.754,-14,-9,-51,19
15.08.2017 19:56:53.004,15,-22,142,35
15.08.2017 19:56:53.254,5,-8,-182,26
15.08.2017 19:56:53.504,5,-36,-189,7
15.08.2017 19:56:53.754,-6,-6,199,2
15.08.2017 19:56:54.004,-6,-21,-125,4
15.08.2017 19:56:54.254,-7,6,-232,-3
15.08.2017 19:56:54.504,5,-9,174,28
15.08.2017 19:56:54.754,-14,-11,-111,54
15.08.2017 19:56:55.004,3,29,-253,19
15.08.2017 19:56:55.254,-7,-16,139,56
15.08.2017 19:56:55.504,-6,-23,10,41
15.08.2017 19:56:55.754,-26,-5,-286,24
15.08.2017 19:56:56.004,-6,-14,77,41
15.08.2017 19:56:56.254,-6,-24,55,41
15.08.2017 19:56:56.504,-6,-12,-279,29
15.08.2017 19:56:56.859,-5,9,5,43
15.08.2017 19:56:57.109,-7,-21,123,49
15.08.2017 19:56:57.359,5,-18,-237,36
15.08.2017 19:56:57.609,16,14,-71,14
15.08.2017 19:56:57.859,16,-7,170,26
15.08.2017 19:56:58.109,15,52,-202,-5
15.08.2017 19:56:58.359,16,-4,-143,20
15.08.2017 19:56:58.609,5,-21,194,15
15.08.2017 19:56:58.859,6,23,-145,19
15.08.2017 19:56:59.109,15,-23,-205,39
